Title,Dewey_Decimal_Number,Author,ISBN,In_Stock,DatePurchased,NumberInStock,NumberOfAccesses,Price,LastAccessed
Empire,900,"Ferguson, Niall",5686816823,y,01-MAR-1994,2,4,7.99,18-MAY-2002
"End of All Songs, The",823,"Moorcock, Michael",025746708X,y,01-JUN-1979,1,12,2.99,09-SEP-1979
"End of History and the Last Man, The",900,"Fukuyama, Francis",5297093706,y,09-APR-2001,2,2,12.49,30-SEP-2006
"End of Science, The",600.9,"Horgan, John",5570159217,y,13-FEB-2004,1,2,7.99,13-SEP-2013
"End of Time, The: Faith and Fear in the Shadow of the Millennium",900,"Thompson, Damian",4412698846,y,07-DEC-1998,1,4,21.5,11-OCT-2005
"End of the Affair, The",823,"Greene, Graham",1104540243,y,01-NOV-1983,1,4,4.99,05-SEP-1990
"End of the Road, The",823,"Barth, John",1238427316,y,09-MAY-1985,1,4,4.99,08-DEC-1994
Enduring Love,823,"McEwan, Ian",978-9529871782,y,01-MAY-2006,4,10,5.99,30-NOV-2015
"Enemy Within, The",353.1,"Crowley, Terry",328146816X,y,31-MAR-2003,2,1,21.5,17-JUN-2011
Energy and the Earth Machine,500,550,6886604078,n,01-JUN-1989,0,2,2.99,16-MAY-2017
"Engineer in the Garden, The",575.1,"Tudge, Colin",8657211661,y,,1,1,,20-MAR-2014
England Made Me,823,"Greene, Graham",1425807244,y,02-FEB-1996,4,4,21.5,02-SEP-2005
England in the 19th Century,942,"Thomson, David",9837332209,n,,0,1,,16-MAY-2017
England in the Eighteenth Century,942.08,"Plumb, J H",4670053751,y,05-FEB-1999,1,1,17.99,10-DEC-2005
England is Mine,942.082,"Bracewell, Michael",415504740X,y,29-JUN-2000,1,1,17.99,15-SEP-2008
"English Assassin, The",823,"Moorcock, Michael",3629837625,y,01-JAN-1978,4,4,2.99,05-NOV-1984
"English Common Reader, The",900,"Altick, Richard D",4135772434,n,01-JUL-1986,0,1,5.49,16-MAY-2017
English Culture and the Decline of the Industrial Spirit 1850-1980,306,"Wiener, Martin J",9060157463,y,28-OCT-1998,2,4,5.99,14-JAN-2007
"English Experience, An: Exploring the Backroads",910.4,"Hansen, Margie D",3590191157,y,19-JUN-1996,2,4,21.5,24-APR-2003
English Passengers,823,"Kneale, Matthew",3977400034,y,30-DEC-1997,2,1,5.99,18-MAR-2006
English Romantic Writers and the West Country,809,"Roe, Nicholas (ed)",6990882539,n,,0,2,,16-MAY-2017
"English Rural Community, The",307.72,"Short, Brian (ed.)",7844375920,y,,1,2,,21-JAN-2008
English Society in the Eighteenth Century,942,"Porter, Roy",4176173422,y,,1,4,,02-AUG-2015
"English Town, The",942.08,"Girouard, Mark",0198915014,y,01-MAY-1995,2,1,17.99,21-OCT-2000
Enigma,823,"Harris, Robert",8793166060,y,09-DEC-1996,1,10,17.99,19-MAR-1997
"Enlightenment for Beginners, The",100,"Spencer, Lloyd  and Krauze, Andrzej",1952154167,y,09-NOV-1997,1,4,7.99,29-NOV-1999
"Enlightenment, The",900,"Porter, Roy",8839470930,y,15-DEC-2000,1,2,12.49,03-MAR-2009
"Enquiry into Meaning and Truth, An",121,"Russel, Bertrand",0677516088,y,,1,1,,08-SEP-2006
Entropy,500,"Rifkin, Jeremy",9041309910,y,01-MAR-1987,2,4,4.5,25-NOV-1989
"Entropy Exhibition, The",809.3,"Greenland, Colin",2658717298,y,01-DEC-1992,2,4,5.99,02-JUL-2002
"Entropy Tango, The",823,"Moorcock, Michael",6064139570,y,01-AUG-1988,5,4,5.49,18-OCT-1996
Epistemology,121,"Martin, Robert M",0120751001,y,07-DEC-1998,1,1,5.99,07-JUL-2008
Epistemology: New Essays,121,"Smith, Quentin",7236531627,y,,1,1,,21-JAN-2008
Esau,823,"Kerr, Philip",978-0614606650,y,27-AUG-2006,4,10,17.99,27-MAR-2016
"Essential Colin Wilson, The",824,"Wilson, Colin",0494624032,y,01-JAN-1995,1,1,7.99,05-NOV-2001
Essential Substances: A Cultural History of Intoxicants in Society,306,"Rudgley, Richard",7343335705,y,21-DEC-1998,1,2,5.99,12-JUN-2004
Ethics,170,"Mackie,  L",424630529X,y,24-AUG-1998,1,4,7.99,28-JUN-2005
Ethnography of Communication,410,"Saville-Troike, Muriel",9726286712,y,,2,1,,24-JUN-2011
"European Witch-craze of the 16th and 17th Centuries, The",133.49,"Trevor-Roper, H R",8064119573,y,19-JUN-1998,1,2,17.99,05-SEP-2006
Eve Spoke: Human Language and Human Evolution,575,"Liberman, Philip",2544350928,n,17-DEC-2001,0,2,17.99,16-MAY-2017
Even Cowgirls Get the Blues,823,"Robbins, Tom",8897337671,n,01-SEP-1992,0,12,5.99,16-MAY-2017
Evolution From Space,575,"Hoyle, Fred, and",0390614961,y,15-FEB-1996,2,4,5.99,22-OCT-1996
Evolution as Religion,575.12,"Midgley, Mary",5980767997,y,,2,2,,08-SEP-2006
Exile,823,"Mina, Denise",4859943364,y,,1,10,,02-AUG-2015
"Exorcist, The",823,"Blatty, William Peter",8882087473,n,01-MAY-1990,0,1,7.99,16-MAY-2017
Expert Political Judgement,320.019,"Tetlock, Phlip E",8168007968,y,,2,4,,02-AUG-2015
Explorations of the Marvellous,823,"Nicholls, Peter (ed)",9280962734,y,01-SEP-1988,1,1,4.99,18-NOV-1996
"Exploring the Language of Poems, Plays and Prose",418,"Short, Mick",9816568512,y,,1,0,,05-NOV-2012
Exploring the Modern,909.0982,"Jervis, John",2131199586,y,02-OCT-1997,2,4,7.99,10-JAN-1998
Extraordinary Minds,128.2,"Gardner, Howard",6574848856,y,29-AUG-2002,1,2,5.99,07-OCT-2006
Extraordinary Popular Delusions and the Madness of Crowds,306.94,"MacKay, Charles",0574440165,y,22-NOV-2000,2,2,5.99,08-FEB-2009
"Extremes, The",823,"Priest, Christopher",978-0283739180,y,19-JUN-2007,2,2,12.49,23-APR-2014
Exultant,823,"Baxter, Stephen",978-8443162911,n,11-SEP-2007,0,1,21.5,16-MAY-2017
Eye,823,"Herbert, Frank",460813062X,y,09-DEC-1996,5,1,12.49,01-JUN-2002
"Eye in the Pyramid, The",823,"Shea, Richard and Wilson, Robert Anton",7490742280,y,01-JUL-1993,4,1,21.5,30-JAN-2003
"Eye of the Lens, The",823,"Jones, Langdon",3666130371,y,01-JAN-1985,4,2,1.99,20-MAR-1993
Eyeless in Gaza,823,"Huxley, Aldous",7387120927,y,01-MAR-1993,2,10,17.99,18-MAY-2001
"Eyes of Heisenberg, The",823,"Herbert, Frank",6022386884,y,01-JAN-1976,1,2,1.99,07-SEP-1976
"Fabric of Reality, The",530,"Deutsch, David",8639509645,y,06-SEP-2003,1,2,5.99,18-JAN-2005
"Fabulous Riverboat, The",823,"Farmer, Philip Jose",5117193989,n,01-DEC-1986,0,1,5.49,16-MAY-2017
"Face of Battle, The",355.94,"Keegan, John",978-1064962349,y,12-JAN-2016,1,2,21.5,15-MAY-2018
"Face of Trespass, The",823,"Rendell, Ruth",1604345470,y,01-JUL-1999,1,2,17.99,17-SEP-2007
Facing the Future: The Case for Science,501,"Allaby, Michael",5800352681,y,18-OCT-1997,2,2,21.5,19-MAY-2007
"Facts, Fallacies and Frauds in Psychology",150.9,"Colman, Andrew M",0197878312,y,05-JAN-2001,1,1,12.49,25-JAN-2003
"Fading of the Greens, The",363.70525,"Bramwell, Anna",2163704844,y,07-NOV-2001,1,2,7.99,22-MAR-2003
Fads and Fallacies in the Name of Science,500,"Gardner, Martin",3492770816,y,20-JUN-2002,1,2,17.99,06-SEP-2010
Fahrenheit 451,823,"Bradbury, Ray",3942650214,n,01-OCT-1979,0,2,1.5,16-MAY-2017
"Failure of Psychoanalysis, The",153,"Wells, Harry K.",5299244386,y,31-OCT-2005,1,2,17.99,01-JUN-2015
Faking It: The Sentimentalisation of Modern Society,300,"Anderson, Digby, and Mullen, Peter (eds.)",0171579081,y,29-APR-2000,1,4,5.99,07-AUG-2000
"Fall, The",823,"Camus, Albert",8328117034,y,01-JUL-1977,4,1,0.99,09-AUG-1981
Falling Angel,823,"Hjortsberg, William",3908260136,n,01-MAY-1988,0,4,5.49,16-MAY-2017
Falling Apart,300,"Morgan, Elaine",8000844628,n,01-JUL-1982,0,1,4.5,16-MAY-2017
"Falling Woman, The",823,"Murphy, Pat",400497727X,y,01-AUG-1992,1,1,17.99,02-MAR-2002
Family and Kinship in East London,300,"Young, Michael, and Wilmot, Peter",724366884X,y,30-SEP-1997,2,2,5.99,17-DEC-2005
Fanaticism of the Apocalypse,306,"Bruckner, Pascal",1431371379,y,11-JAN-2002,1,1,17.99,31-JAN-2004
Far From the Madding Crowd,823,"Hardy, Thomas",0687177726,y,29-JUL-1996,1,1,7.99,15-OCT-2004
Far Out: The Dawning of the New Age in Britain,306,"Akhtar, Miriam, and Humphries, Steve",9896058408,y,06-JAN-2001,1,1,12.49,25-MAR-2009
Farmer in the Sky,823,"Heinlein, Robert",4061545387,y,01-JAN-1976,5,2,0.99,19-MAR-1984
Fascism: A Very Short Introduction,321.9,"Passmore, Kevin",312607842X,n,,0,2,,16-MAY-2017
"Fatal Inversion, A",823,"Vine, Barbara",978-6525971217,y,28-JUN-2007,5,1,5.99,26-JAN-2017
"Fate of Nations, The",909,"Colinvaux, Paul",7819551992,y,15-NOV-2002,1,1,12.49,15-JUN-2012
Fatherland,823,"Harris, Robert",2978415723,y,01-MAR-1993,1,10,21.5,04-JAN-2000
Fathers and Sons,823,"Turgenev, Ivan",978-1748213215,n,26-MAY-2014,0,10,12.49,16-MAY-2017
Fear Index,823,"Harris, Robert",8984193536,y,20-SEP-1996,2,4,5.99,07-DEC-2004
Fear and Loathing in Las Vegas,814,"Thompson, Hunter S",3158204091,n,01-NOV-1988,0,4,4.5,16-MAY-2017
Fear of Flying,823,"Jong, Erica",6963985584,n,01-APR-1986,0,1,4.5,16-MAY-2017
Feature Films as History,791.43,"Short, K R M (ed.)",1196259005,n,05-MAR-2000,0,1,7.99,16-MAY-2017
Feersum Endjin,823,"Banks, Iain M",2352382584,y,01-FEB-2001,4,12,17.99,07-DEC-2007
Fermat's Last Theorem,510.9,"Singh, Simon",779199138X,y,28-SEP-2000,1,4,17.99,15-DEC-2008
"Fifth Essence, The",500,"Krauss, Laurence",7571329008,n,01-FEB-1992,0,2,21.5,16-MAY-2017
Fifty Key Contemporary Thinkers,100.03,"Lechte, John",1781390617,y,04-APR-1998,2,2,5.99,03-NOV-2007
Figures in a Landscape,823,"England, Barry",1259616381,y,01-AUG-1979,1,4,3.5,18-OCT-1987
Film and Reality,791.43,"Armes, Roy",1994083883,y,22-FEB-2000,1,1,17.99,27-DEC-2006
Film as Film: Understanding and Judging Movies,791.43,"Perkins, V F",3754104778,n,11-APR-2000,0,1,17.99,16-MAY-2017
"Final Programme, The",823,"Moorcock, Michael",5059556521,y,01-OCT-1981,3,2,4.5,18-DEC-1989
"Final Programme, The",823,"Moorcock, Michael",0391374836,y,01-DEC-1992,1,1,5.99,24-MAY-1998
"Finger and the Moon, The",823,"Ashe, Geoffrey",4906180759,y,01-APR-1988,1,2,5.49,04-FEB-1995
Fins de Siecle,900,"Briggs, Asa and Snowman, Daniel",9221159718,y,27-NOV-2001,2,0,21.5,13-FEB-2010
Fire Down Below,823,"Golding, William",8313835230,n,19-JUN-1996,0,4,17.99,16-MAY-2017
"Fire Upon the Deep, A",823,"Vinge, Vernor",0795043870,y,01-OCT-1993,3,10,5.99,21-OCT-1995
Fireworks,808.3,"Carter, Angela",0571581447,y,01-JUL-1982,1,1,4.99,17-SEP-1990
"First Civilizations, The",930.1,"Daniel, Glyn",7884388365,y,02-MAY-2003,2,4,5.99,19-JUL-2011
First Light,823,"Ackroyd, Peter",3399496308,y,01-JUN-1986,1,12,5.49,05-APR-1993
Five Equations that Changed the World,500,"Guillen, Michael",5830338321,y,22-MAY-1996,2,2,5.99,30-JUN-2000
Five Lectures on Psychoanalysis,154.2,"Freud, Sigmund",3505896248,y,01-JAN-1995,1,1,12.49,01-AUG-2004
Flashforward,823,"Sawyer, Robert J",978-7726192506,y,03-JUL-2011,5,2,7.99,23-DEC-2016
Flaubert's Parrot,823,"Barnes, Julian",5543149829,y,01-OCT-1987,4,1,1.99,01-MAY-1997
Fleshmarket Close,823,"Rankin, Ian",978-5225523424,y,07-SEP-2006,2,2,5.99,28-FEB-2012
"Floating Opera, The",823,"Barth, John",753526905X,y,01-DEC-1986,1,1,1.99,05-OCT-1993
Floating Worlds,823,"Holland, Cecelia",5359838999,y,01-SEP-1988,1,12,4.5,22-FEB-1994
"Flounder, The",823,"Grass, Gunter",7432538684,n,01-NOV-1979,0,12,0.99,16-MAY-2017
"Flow My Tears, the Policeman Said",823,"Dick, Philip K",7982002817,y,01-JAN-1983,3,2,1.99,05-NOV-1989
Flying Hero Class,823,"Keneally, Thomas",5278208496,y,01-APR-1992,4,12,12.49,18-JUN-2000
"Flying Saucer Vision, The",1.9,"Michell, John",1286321488,y,31-MAY-1996,2,2,12.49,17-AUG-2004
"Flying Saucerers, The",1.9,"Shuttlewood, Arthur",9161792965,y,01-APR-1979,1,4,1.99,21-SEP-1984
Flying Saucers: Hoax or Reality,1.9,"Stanton, Jerome",7262390809,n,01-DEC-1981,0,4,5.49,16-MAY-2017
Flying Without Fear,153,n/k,3743321087,n,01-JUN-1986,0,2,2.99,16-MAY-2017
"Fog, The",823,"Herbert, James",4986714309,n,01-FEB-1977,0,1,0.99,16-MAY-2017
Folk Devils and Moral Panics,300,"Cohen, Stan",1940656203,y,01-MAR-1983,2,0,1.99,21-AUG-1988
For Esme - With Love and Squalor`,808.3,"Saligner, J D",3605551433,y,,1,1,,21-JAN-2008
For and Against Method,501,"Lakatos, Imre, and Paul Feyerabaend",2129648469,y,03-FEB-1998,1,2,12.49,23-FEB-2000
Forbidden Science,501,"Milton, Richard",1007167981,y,12-OCT-1997,1,0,17.99,04-APR-2003
"Forever War, The",823,"Haldeman, Joe",978-7997466688,y,22-DEC-2012,3,10,5.99,15-MAY-2018
Forever Young: A Cultural History of Longevity,306,"Boia, Lucian",978-1923196694,y,10-DEC-2006,1,2,5.99,10-JUL-2016
Fortean Studies 1,130,"Moore, Steve (Ed)",105712097X,n,,0,1,,16-MAY-2017
Foucault's Pendulum,823,"Eco, Umberto",2639309355,y,01-JAN-1991,3,12,7.99,05-NOV-1997
Foundation,823,"Asimov, Isaac",2804666046,n,01-MAY-1978,0,1,2.99,16-MAY-2017
Foundation and Empire,823,"Asimov, Isaac",7320118969,n,06-JAN-1978,0,4,2.99,16-MAY-2017
Foundation's Edge,823,"Asimov, Isaac",0093129636,n,01-NOV-1993,0,10,12.49,16-MAY-2017
Fountains of Paradise,823,"Clarke, Arthur C",9403926758,n,01-NOV-1993,0,1,5.99,16-MAY-2017
Fox Evil,823,"Walters, Minette",7330652781,y,25-SEP-2004,3,10,5.99,31-JUL-2011
"Fox, The",823,"Lawrence, D H",3833622408,y,01-JUL-1979,1,1,1.99,05-MAY-1986
Fragile Science: The Reality Behind the Headlines,500.1,"Baker, Chris",6538511378,y,15-JUL-2002,1,1,21.5,03-AUG-2004
Frankenstein,823,"Shelley, Mary",978-7722070444,y,21-FEB-2010,4,1,12.49,10-MAY-2018
Frankenstein Unbound,823,"Aldiss, Brian",5633428626,n,01-DEC-1990,0,10,12.49,16-MAY-2017
Franny and Zooey,823,"Salinger, J D",6746670016,y,01-MAR-1986,4,1,4.99,03-JAN-1993
Freakonomics,306,"Levitt, Stephen D, and Stephen J Dubner",7200227695,y,12-MAY-1998,2,1,5.99,02-NOV-2003
Free Speech  - A Very Short Introduction,323.4,"Warburton, Nigel",978-0086227371,y,31-DEC-2013,1,2,21.5,15-MAY-2018
"French Lieutenant's Woman, The",823,"Fowles, John",8950516763,y,01-DEC-1980,1,2,1.99,17-FEB-1989
"Friend From England, A",823,"Brookner, Anita",978-6907715428,y,01-JAN-2015,2,0,21.5,15-MAY-2018
Friends Come in Boxes,823,"Coney, Michael",5793616840,y,01-JAN-1976,1,4,0.99,19-MAR-1984
"Fringe of Leaves, A",823,"White, Patrick",243011359X,y,01-DEC-1980,1,10,2.99,17-FEB-1989
From Alien to the Matrix: Reading Science Fiction Film,791.43,"Kaveney, Roz",978-9556174893,y,14-JUN-2012,1,2,12.49,05-DEC-2017
From Freud's Consulting Room: The Unconscious in a Scientific Age,153,Hughes. Judith M,296412984X,y,28-DEC-2001,1,4,7.99,16-MAR-2010
Frontiers of Complexity,530,"Coveney, Peter, and Highfield, Roger",4502867877,y,14-FEB-2003,2,1,5.99,03-MAY-2011
Fugitive Minds,153,"Melechi, Antonio",6964871365,y,,2,2,,24-JUN-2011
Fugue for a Darkening Island,823,"Priest, Christopher",1824958740,y,01-JUL-1981,1,4,2.99,22-DEC-1986
"Furies, The",823,"Roberts, Keith",3649199085,y,23-SEP-1985,3,1,2.99,28-JUL-1992
Future Babble,500,"Gardner, Dan",978-3055200196,y,28-JAN-2014,1,2,5.99,15-MAY-2018
Future Natural,501,"Robertson, George, et al.",2872758015,y,,1,4,,20-MAR-2014
Future Shock,300,"Toffler, Alvin",5166485657,y,01-MAY-1978,1,2,1.99,09-JUN-1982
Future Worlds,335,"Gribbin, John",1109255087,y,30-NOV-2003,2,1,7.99,16-FEB-2012
"Futurological Congress, The",823,"Lem, Stanislaw",2438606407,y,19-SEP-2001,1,1,17.99,09-OCT-2003
Fuzzy Thinking,100,"Kosko, Bart",926692449X,y,13-OCT-1996,1,1,21.5,30-DEC-2004
Gaia,500,"Lovelock, J E",0321476455,n,01-DEC-1994,0,4,12.49,16-MAY-2017
Gallowglass,823,"Vine, Barabra",7327875610,y,02-MAY-2003,1,4,5.99,30-NOV-2012
"Game Players of Titan, The",823,"Dick, Philip K",4208306789,y,02-MAR-1986,1,12,4.99,10-JUN-1986
"Gap into Conflict - the Real Story, The",823,"Donaldson, Stephen",5836061777,n,01-AUG-1992,0,10,5.99,16-MAY-2017
Garnethill,823,"Mina, Denise",2558161217,n,,0,1,,16-MAY-2017
"Geek Manifesto, The",303.4830941,"Henderson, Mark",1461190712,y,05-DEC-1996,2,2,7.99,10-OCT-2003
General Linguistics,410,Unkown,156628753X,y,15-MAY-1985,2,2,1.99,23-JUN-1989
Generation X,823,"Coupland, Douglas",9753332604,y,18-NOV-2004,5,4,17.99,19-JUN-2014
"Genes, Peoples, and Languages",575.1,"Cavalli-Sforza, Luigi Luca",978-2459808096,y,03-JUN-2015,1,2,5.99,15-MAY-2018
"Genius and the Goddess, The",823,"Huxley, Aldous",978-4752404352,y,27-DEC-2014,1,12,5.99,15-MAY-2018
Genome,500,"Ridley, Matt",9193557314,y,,2,1,,20-MAR-2014
Germinal,823,"Zola, Emile",2392887735,y,01-APR-1982,2,1,1.99,31-OCT-1991
Gertrude,823,"Hesse, Herman",8336044810,n,01-AUG-1977,0,0,2.99,16-MAY-2017
Geta,823,"Kingsbury, Donald",935208510X,n,01-MAY-1987,0,0,4.99,16-MAY-2017
"Ghost in the Machine, The",128.2,"Koestler, Arthur",0674369224,y,01-NOV-1993,2,2,5.99,05-SEP-2000
"Ghost, The",823,"Harris, Robert",978-390390419X,y,28-FEB-2014,3,1,5.99,19-MAR-2016
Gifts of the Gods,1.9,"Spencer, John",4378406906,y,01-APR-1995,2,1,21.5,03-FEB-2002
"Ginger Man, The",823,"Donleavy, J P",0720750662,y,01-SEP-1982,1,4,1.99,18-NOV-1990
"Girl Next Door, The",823,"Rendell, Ruth",978-4292593498,y,15-SEP-2014,3,1,7.99,15-MAY-2018
"Gladiators, The",823,"Koestler, Arthur",8933704909,y,31-DEC-1997,2,1,17.99,19-MAR-2006
"Glass Cage, The",823,"Wilson, Colin",074552882X,y,01-APR-1986,4,1,4.99,18-JUN-1994
"Glastonbury Romance, A",823,"Powys, John Cowper",8976354114,y,01-JUL-1979,3,4,3.5,29-JAN-1989
Glued to the Box,791.45,"James, Clive",8681965269,n,29-MAY-1986,0,1,2.99,16-MAY-2017
"Go Between, The",823,"Hartley, L P",8752594999,y,30-OCT-1996,3,4,5.99,04-SEP-2003
God - an Autobiography,823,"Pascall, Jeremy",1547953264,n,01-DEC-1988,0,12,1.99,16-MAY-2017
God Emperor of Dune,823,"Herbert, Frank",9302663896,y,01-MAY-1982,3,4,2.99,18-JUL-1990
"God of the Labyrinth, The",823,"Wilson, Colin",3706499573,y,01-MAR-1983,4,10,4.99,09-APR-1987
God's Funeral,900,"Wilson, A N",1418839484,y,,2,2,,02-AUG-2015
"Godel, Escher, Bach: An Eternal Golden Braid",500,"Hofstadter, Douglas",4932068463,y,01-MAR-1991,1,2,21.5,29-SEP-2000
"Gods Have Landed, The",300,"Lewis, James R (ed.)",3706376764,y,29-OCT-2004,1,0,12.49,03-SEP-2011
"Gods Themselves, The",823,"Asimov, Isaac",4846013535,n,01-JAN-1974,0,4,2.99,16-MAY-2017
Going Inside,500,"McCrone, John",978-2072175663,y,10-AUG-2015,1,2,12.49,15-MAY-2018
Going Wrong,823,"Rendell, Ruth",3888170879,y,02-JUL-2000,1,2,17.99,31-JAN-2010
"Golden Apple, The",823,"Shea, Richard and Wilson, Robert Anton",0594506557,y,01-JUL-1993,1,10,17.99,05-MAY-2000
"Goldfinch, The",823,"Tarrt, Donna",539525518X,y,,1,1,,05-NOV-2012
"Good Morning, Midnight",823,"Rhys, Jean",2839909519,y,,4,12,,24-JUN-2011
"Good Soldier, The",823,"Ford, Ford Maddox",0019292324,y,01-JUL-1994,2,1,12.49,17-SEP-2002
Good as Gold,823,"Heller, Joseph",0336721884,n,01-SEP-1986,0,10,1.99,16-MAY-2017
Gormenghast,823,"Peake, Mervyn",301840624X,y,04-FEB-1985,4,10,1.99,28-JUL-1990
"Grain Kings, The",823,"Roberts, Keith",677757737X,y,01-JUL-1990,4,1,12.49,17-SEP-1998
Grammatical Man,150,"Campbell, Jeremy",2024153924,y,01-NOV-1986,1,1,4.5,20-NOV-1988
Gramsci,190.9,"Joll, James",2139585764,y,16-AUG-1998,1,4,21.5,20-JUN-2005
Grapes of Wrath,823,"Steinbeck, John",2257039404,y,,4,4,,02-AUG-2015
Grasshopper,823,"Vine, Barbara",2249994787,y,08-MAY-2004,5,2,17.99,25-JUL-2012
"Great Beast, The",130.9,"Symonds, John",6548380380,y,01-JAN-1980,1,1,0.99,19-MAR-1988
"Great British Picture Show, The",791.43,"Perry, George",3719607090,y,11-FEB-2000,2,4,7.99,11-SEP-2009
Great Expectations,823,"Dickens, Charles",978-0327696442,y,01-MAY-2010,4,4,5.99,15-MAY-2018
"Great Gatsby, The",823,"Fitzgerald, F. Scott",978-2365670573,y,06-JAN-2013,5,1,5.99,16-APR-2013
Great Mambo Chicken and the Transhuman Condition,500,"Regis, Ed",8241320615,y,30-SEP-2002,1,4,7.99,22-MAR-2008
"Great Wave, The",330,"Hackett Fischer, David",5985132254,y,28-MAY-1996,1,2,5.99,18-NOV-2001
"Greatest Benefit to Mankind, The",610.9,"Porter, Roy",4489526211,y,,1,0,,02-AUG-2015
Green Eyes,823,"Shepherd, Lucius",7528536184,y,01-MAR-1990,4,1,12.49,18-MAY-1998
Green Mars,823,"Robinson, Kim Stanley",2982536034,y,12-JUL-1997,1,1,5.99,16-MAY-2004
Grendel,823,"Gardner, John",3855489522,n,01-JUL-1979,0,2,1.99,16-MAY-2017
Greybeard,823,"Aldiss, Brian",1881999160,n,01-MAR-1983,0,10,1.99,16-MAY-2017
Gridlock,823,"Elton, Ben",4667825268,n,01-APR-1992,0,2,12.49,16-MAY-2017
"Grooming, Gossip, and the Evolution of Language",500,"Dunbar, Robin",0710013043,y,21-OCT-1999,2,2,17.99,25-AUG-2006
"Grounds of English Literature, The",809,"Cannon, Christopher",8529548402,y,20-MAY-2002,1,0,17.99,24-MAR-2009
"Growing Pains of Adrian Mole, The",823,"Townsend, Sue",0017112503,n,12-MAY-1985,0,10,5.49,16-MAY-2017
"Growth of Civilization, The",900,"Perry, W J",4318622460,y,,2,2,,20-MAR-2014
Guardians of the Universe?,1.9,"Story, Ronald",3177255882,y,31-JAN-1999,1,4,5.99,19-APR-2007
"Guide for the Perplexed, A",100,"Schumacher, E F",917937849X,n,23-NOV-2003,0,1,5.99,16-MAY-2017
"Guilty Thing Surprised, A",823,"Rendell, Ruth",1604567529,n,11-NOV-2002,0,12,5.99,16-MAY-2017
"Gum Thief, The",823,"Coupland, Douglas",978-0962273530,y,29-SEP-2014,3,1,12.49,15-MAY-2018
Guns of Avalon,823,"Zelazney, Roger",6443338583,n,01-APR-1977,0,2,0.99,16-MAY-2017
"Guns, Germs and Steel",500,"Diamond, Jared",5283231398,n,07-MAR-2004,0,1,5.99,16-MAY-2017
Handbook of Science Communication,501.4,"Wilson, Anthony (ed.)",1304638386,y,,1,1,,20-MAR-2014
"Handful of Dust, A",823,"Waugh, Evelyn",7897283317,y,,1,10,,20-MAR-2014
"Handmaid's Tale, The",823,"Atwood, Margaret",6670012882,y,16-MAY-2003,4,12,17.99,14-DEC-2012
Hard Times,823,"Dickens, Charles",6429400214,y,21-JUL-1999,5,12,12.49,10-JAN-2005
Harm's Way,823,"Greenland, Colin",827167108X,n,01-MAY-1995,0,2,21.5,16-MAY-2017
Harnessing the Parabrain,158,"Buzan, Tony",1736058603,y,22-MAR-2002,1,2,12.49,08-JUN-2010
Harry's Game,823,"Seymour, Gerald",3741038862,n,01-APR-1988,0,10,1.99,16-MAY-2017
"Harvard Psychedelic Club, The",306,"Lattin, Don",5799157836,y,11-FEB-1998,2,1,7.99,30-APR-2006
"Haunted Woman, The",823,"Lindsay, David",978-4077129049,y,01-JUL-2011,4,1,5.99,15-MAY-2018
Hawksmoor,823,"Ackroyd, Peter",7470361966,n,29-JUL-1996,0,1,5.99,16-MAY-2017
Headhunters,823,"Nesbo, Jo",978-6190796143,y,03-JUN-2015,5,10,17.99,11-SEP-2015
Hear Us O Lord In Heaven Thy Dwelling Place,808.3,"Lowry, Malcolm",063387883X,y,01-NOV-1984,1,4,4.5,21-NOV-1986
Heart of Darkness,823,"Conrad, Joseph",5435066375,y,01-JUL-1979,2,0,0.99,17-SEP-1987
Heart of the Matter,823,"Green, Graham",7057445933,y,12-DEC-1995,1,1,17.99,28-FEB-2004
Heartstones,823,"Rendell, Ruth",1433252386,n,01-AUG-1988,0,12,4.99,16-MAY-2017
"Heat of the Day, The",823,"Bowen, Elizabeth",818805591X,y,22-OCT-2001,3,2,12.49,08-JAN-2010
"Heaven Makers, The",823,"Herbert, Frank",3106272101,y,01-MAY-1977,3,2,0.99,22-OCT-1982
"Heaven, Hell and the Victorians",941.081,"Wheeler, Michael",8067830516,y,20-AUG-1999,1,1,5.99,06-NOV-2007
"Hello Summer, Goodbye",823,"Coney, Michael",4618984477,y,01-OCT-1982,1,4,1.99,01-MAY-1992
Hellstrom's Hive,823,"Herbert, Frank",5769333921,y,01-MAY-1978,1,0,1.5,05-MAR-1985
Henderson the Rain King,823,"Bellow, Saul",7630660342,n,01-NOV-1989,0,4,4.99,16-MAY-2017
Here Be Dragons,500,"Koerner, David, and Simon LeVay",647254675X,y,30-JUN-2005,1,4,17.99,16-SEP-2013
Heretics of Dune,823,"Herbert, Frank",978-805721030X,y,12-SEP-2010,1,4,17.99,15-MAY-2018
"Hero With a Thousand Faces, The",290,"Campbell, Joseph",4115604015,y,10-JUN-1996,1,0,5.99,01-DEC-2001
Herzog,823,"Bellow, Saul",4763874498,n,01-JUL-1987,0,1,2.99,16-MAY-2017
Hidden Histories of Science,600.9,,5722936474,y,09-APR-1999,2,1,12.49,07-NOV-2008
"Hidden Huxley, The",809.3,"Bradshaw, David (Ed)",978-9798657526,y,03-SEP-2006,2,2,21.5,30-MAY-2009
"Hidden Persuaders, The",300,"Packard, Vance",4500664721,n,01-MAR-1988,0,2,1.99,16-MAY-2017
